Y,X
26.0798535,119.5291335
25.68501869,119.5652398
25.68424522,119.5720359
25.6839314,119.5747059
25.68444875,119.5757624
25.53576958,119.5978008
25.5335121,119.6027431
25.532487,119.6036942
25.83403787,119.6113829
25.52809494,119.6123304
25.52366196,119.6130916
25.84621346,119.6158518
26.05338507,119.6176368
25.72987015,119.6192793
25.56106798,119.6222066
25.55662877,119.6229005
25.55018613,119.6241078
25.545833,119.6248553
25.68717572,119.6345045
25.68624896,119.635069
25.56842588,119.6381642
25.76061718,119.6416717
25.70256124,119.6448388
26.12175698,119.6519597
26.12272701,119.6516876
25.52148568,119.6528613
25.61349591,119.6584948
25.59743636,119.6597631
25.56792199,119.6605091
25.59851571,119.6606166
25.57294074,119.6628828
25.57570603,119.6628509
25.59643924,119.6635923
25.60636397,119.6637527
25.60071365,119.6638101
25.58076846,119.6639064
25.58895451,119.6651266
25.59377064,119.6648941
25.6160811,119.6654553
25.58626307,119.6668224
25.5788797,119.6673569
25.59481825,119.66769
25.59217235,119.6679413
25.60036025,119.6686575
25.60980982,119.668533
25.6128645,119.6694216
25.6044644,119.6694769
25.5868438,119.6698584
25.58414794,119.6702101
25.57408082,119.6709005
25.61557048,119.6721978
25.61071094,119.6730396
25.57339199,119.6739001
25.4505043,119.6778454
25.44666079,119.6780329
25.22402705,119.679987
25.23001382,119.6832528
25.21542623,119.6834011
25.42866129,119.6852261
25.42762613,119.6855548
25.2349577,119.6876053
25.4201372,119.6898017
25.62831608,119.6905683
25.62754911,119.6917773
25.18219352,119.6943824
25.23861437,119.6958449
25.39654045,119.6985277
25.74121438,119.698373
25.82209763,119.6992602
25.63150247,119.7005965
25.52203327,119.7030981
25.52205236,119.7073889
25.1163198,119.708432
25.34776402,119.7146201
25.19989273,119.7236314
25.15995224,119.7442728
25.50910867,119.7515588
25.93803455,119.7537573
25.69043549,119.7626251
25.68876175,119.7652012
25.69950906,119.7666947
25.32696028,119.7668107
25.68729996,119.7674861
25.69661951,119.770364
25.70109156,119.7704736
25.68403728,119.7722987
25.13650687,119.7723089
25.68260972,119.7745854
24.7508635,119.7748003
25.93680533,119.7756747
25.6980396,119.7755516
25.86740662,119.7771447
25.68112918,119.7771435
25.69708021,119.7781729
25.69529161,119.7810363
25.6838398,119.7813964
25.67810317,119.7818817
25.25573445,119.7818662
25.69374441,119.7834724
25.67706097,119.7843101
26.24505454,119.7853865
26.24393765,119.7856059
25.69240703,119.7858446
24.76946132,119.7862816
25.28727358,119.7875864
25.69089905,119.7886085
25.68952514,119.7909801
24.73293378,119.7917209
25.91555551,119.7935668
26.25215697,119.794112
25.91451836,119.7938778
24.85152314,119.7949413
26.25105928,119.7968676
25.29587237,119.7991237
25.29669989,119.7992617
25.29457768,119.7992947
25.04133062,119.8015312
25.77854446,119.8115432
25.66217561,119.8123283
25.66154679,119.8153167
25.29403294,119.8152829
25.64213641,119.8166267
26.21416866,119.8188245
25.6391075,119.8188176
25.78220004,119.8199229
25.71433033,119.820089
26.04693248,119.8208113
26.10130393,119.8258057
25.77508774,119.8268729
25.96729842,119.826229
25.91724411,119.8289557
25.35440446,119.829528
25.35338871,119.8297664
25.7859674,119.8327347
26.13935579,119.8327685
25.35047672,119.8338796
25.18287927,119.8436002
26.18688146,119.8437341
26.10216232,119.8450194
25.64720968,119.8460586
26.1737752,119.8465962
25.60281793,119.8464363
24.96225466,119.8508841
25.40500771,119.8537532
26.02022156,119.856361
25.61490183,119.8593879
26.19098022,119.8606894
25.77070183,119.8609953
26.20073219,119.8645761
25.61793151,119.8643173
25.62054118,119.8692234
25.6229176,119.8742304
25.03196801,119.8747547
25.42699755,119.8777449
26.04301915,119.8788125
25.6255421,119.8792198
26.20640928,119.8828414
26.21300458,119.8832464
25.61728521,119.88463
25.74269418,119.8859369
24.89762118,119.8876619
25.62021253,119.8895022
25.44978901,119.8896988
25.80766957,119.8903078
26.20631973,119.9050883
26.22039139,119.9076903
25.31315025,119.9174059
26.2416311,119.9199037
25.76005964,119.9216592
24.81062037,119.9231117
25.37456956,119.9578388
26.08549485,119.9617344
25.63258981,119.9621406
26.01759324,119.9752239
24.95157678,119.976144
25.98324579,119.9814016
25.72735264,119.9885002
25.45579666,119.9886821
24.79258059,119.9904855
24.94221523,120.0011746
25.47053534,120.0067203
25.51665033,120.0078825
24.97339507,120.0104765
24.97003402,120.010768
24.79151908,120.0112464
25.37924847,120.012017
25.57635256,120.0150202
25.71149767,120.0184829
25.68142578,120.0231558
25.47928318,120.0295287
24.90444354,120.0350717
25.78376008,120.0398633
25.74509762,120.0496361
25.53252276,120.0543953
24.83621513,120.0555516
25.59585359,120.0569958
25.50253319,120.0691078
26.25434355,120.0704787
25.80303766,120.0720172
25.05917609,120.0737572
25.89132401,120.0919274
25.04210001,120.0956435
25.26230825,120.118998
24.89190791,120.1201025
25.77547779,120.1203539
25.8056936,120.1269998
25.31616239,120.1298209
25.59479262,120.1418978
25.27220999,120.1432294
25.87277884,120.1435991
25.26900397,120.1436489
25.92396153,120.1526225
25.32891988,120.1546042
26.24585253,120.1553997
25.652815,120.1598078
24.76064885,120.1596709
25.81436846,120.1620721
25.89053381,120.1623684
25.92018613,120.1692361
25.91904507,120.1695254
24.82105157,120.1742608
25.17214822,120.1917958
25.23438486,120.1927445
25.23127588,120.1933584
25.90119738,120.1942815
24.81889794,120.2159203
24.83429184,120.2271703
25.72029692,120.2308594
24.77153679,120.2310054
26.12588698,120.2694889
25.01101784,120.2758368
25.2757103,120.2782062
26.13999278,120.2833093
24.82908558,120.2940366
25.00303577,120.3016551
25.20528397,120.3076758
25.67802627,120.3079437
25.40084301,120.3179688
25.7250235,120.3319222
25.77371725,120.3457145
24.91535803,120.3463316
25.07905631,120.3494618
25.59379922,120.3544099
26.32716198,120.3599358
26.30871178,120.3751947
26.30966548,120.3755404
26.30735688,120.3757045
26.15596506,120.4054876
26.09503056,120.4053377
25.13626458,120.413759
26.30175237,120.4184991
26.1834035,120.4191276
26.32814389,120.4221112
26.28457609,120.4242896
26.30518117,120.4298511
26.31252513,120.4314301
26.32526416,120.4321897
26.32574227,120.4350882
26.30603887,120.4412052
26.31649113,120.4440017
26.3079575,120.4463093
26.3046073,120.4482977
25.6686572,120.449806
26.31059449,120.4496813
24.88023875,120.4537044
26.29785076,120.4582653
26.30464511,120.4585202
24.83576539,120.4592692
25.39401854,120.4769933
25.90140142,120.4796726
26.35404197,120.483106
26.35545506,120.4857755
25.53826502,120.4932232
25.54123542,120.4930402
26.36588661,120.504603
26.36576877,120.5086163
25.70578512,120.5111151
25.96958454,120.5227055
25.91101493,120.5475464
26.09853087,120.5480128
26.06283662,120.5531293
25.87131081,120.5559421
25.90894152,120.5566343
24.87275515,120.5838082
25.12924108,120.5853955
26.32177789,120.5885013
25.01558687,120.5907967
26.36325534,120.5984325
25.59247512,120.5991029
26.04297272,120.6236506
25.15931447,120.6340983
24.84035531,120.6432081
26.08981951,120.6434271
26.23498682,120.6500177
26.23246858,120.6504428
26.18180856,120.6740563
25.60804748,120.702974
25.99636364,120.7057018
25.10940425,120.7070468
25.15060891,120.7124758
25.14766216,120.713416
24.95129527,120.7482629
26.21457744,120.75335
26.41529989,120.7589682
26.22972222,120.7811434
24.89439751,120.7854268
26.36968835,120.7877135
26.36644345,120.7879564
26.35692092,120.8036828
25.60832094,120.8069782
25.61006026,120.8071128
25.56235706,120.8269312
26.34013416,120.835198
25.03044307,120.8412471
25.02749126,120.8419632
26.39636325,120.8531291
26.30476149,120.8587204
26.11659113,120.8629135
26.38352912,120.8695471
26.33569418,120.8699319
26.30121157,120.8750545
26.30011601,120.8835028
26.32284521,120.8991914
25.19393159,120.8998495
26.38624675,120.9142281
26.3826457,120.9149678
26.32873029,120.9176698
25.09093168,120.922479
26.25333107,120.9315438
25.53123156,120.9368158
25.48907624,120.944606
25.49011572,120.9454666
26.12832738,120.9478906
26.39273545,120.9495047
26.3760669,120.9748729
26.09183682,120.9805035
25.88699413,120.995959
25.09087338,120.9966408
25.51723642,121.0030578
25.84530087,121.0045054
26.41149632,121.0107894
26.40037406,121.0389767
25.050369,121.0417985
25.05821515,121.0469882
26.43937359,121.0487193
26.40701841,121.0490132
25.05499941,121.0505399
25.05496794,121.0513347
25.0581807,121.0514646
25.25147244,121.0537936
26.45737328,121.0667792
26.44203035,121.0693953
26.39721445,121.0705014
26.46003812,121.0809439
26.43792033,121.0898266
26.42357458,121.0904115
26.1468934,121.0934544
26.1438358,121.0942437
26.44818375,121.0954942
26.4664153,121.0970572
26.45794786,121.1003182
25.18990303,121.1064105
26.41438182,121.1065649
26.41345699,121.1068022
26.43735424,121.1133149
25.55027126,121.1288474
25.20010749,121.1348866
26.13159761,121.1411345
26.12821831,121.1413221
25.98515699,121.149462
25.23217401,121.1647699
25.11008278,121.169796
25.11951975,121.1748632
25.14067165,121.1768792
26.10348125,121.1778639
25.14803221,121.1984789
26.00610249,121.2037848
25.26703521,121.2325548
25.80957307,121.237932
25.51296375,121.2393003
25.19125142,121.2466403
25.17072846,121.2544599
25.91787207,121.2562623
25.19275293,121.2674196
26.04682575,121.2747284
25.18362545,121.2785138
26.4765031,121.2867347
25.27101267,121.2869981
25.13571345,121.2868634
25.21053675,121.2978945
25.45410693,121.3081715
25.18510424,121.3087097
25.55313658,121.3181376
25.16890695,121.319142
25.1494936,121.3336926
25.16026262,121.3475809
25.17289371,121.3524939
25.97579255,121.3569025
25.16028444,121.3578789
25.15578965,121.3581943
25.3937041,121.3582847
26.09054731,121.362161
25.17995327,121.3659542
25.15744444,121.365868
25.15830907,121.3663259
26.32067811,121.3705778
25.22196718,121.3709506
25.15674859,121.3714917
25.17945691,121.3793315
25.92787332,121.3830301
25.16611957,121.3866237
26.17192063,121.3885542
25.94021718,121.4003648
26.4430629,121.4178676
25.81468933,121.424776
25.28968379,121.4705896
25.97931774,121.4795485
25.5607356,121.4801971
25.91170697,121.4903866
26.32836982,121.5064305
26.03615836,121.5177271
26.03209391,121.5175342
26.34967646,121.5242718
26.31469162,121.5507682
25.79826428,121.5790707
25.89112341,121.593747
26.25539697,121.5965298
25.35412533,121.6026239
25.31644037,121.6273339
25.65863111,121.6468327
26.09769548,121.6605067
26.09476584,121.6608016
26.51250229,121.6718835
25.58871197,121.6767956
25.47814674,121.6843545
26.47426214,121.702105
26.08581416,121.7035284
26.53472484,121.7043572
26.49605949,121.7069946
26.48389844,121.7070432
25.64337219,121.707138
26.51648423,121.7088336
26.46464914,121.7095572
26.45334528,121.710156
26.52133461,121.7139475
26.46719514,121.7167436
26.48199043,121.7177647
26.55034405,121.7227743
26.46609143,121.7230325
26.4870185,121.7233536
26.5009933,121.7249413
26.49631257,121.7261997
26.44685194,121.7262194
25.58052848,121.7267662
26.45801476,121.7269979
26.43777677,121.7270599
26.45294253,121.729645
26.50346308,121.7313916
25.51417996,121.7322975
26.51030755,121.732837
26.49247731,121.7350986
26.41361036,121.73525
26.46524073,121.7357327
26.50091256,121.7401627
26.48695668,121.743443
26.51348369,121.7464117
26.50882805,121.7502768
26.57877247,121.7508599
25.24830529,121.7537493
25.44380115,121.7574709
26.5605535,121.7587251
26.54292221,121.7598768
26.52700333,121.760386
26.50968845,121.7610716
26.45376061,121.76164
25.65151731,121.7757752
25.23363276,121.7797141
25.74930282,121.7882696
25.72442693,121.7947754
26.55997821,121.8307093
25.37355974,121.8676531
25.1809541,121.8751852
26.45445054,121.899027
25.77149746,121.9020846
25.79286027,121.917035
25.79692354,121.9233865
25.86317066,121.9680394
25.85337304,121.97734
25.81439144,121.9918821
25.79831021,122.0104488
25.71027141,122.0395609
25.71720885,122.0438562
25.50572502,122.0789567
